line,미래에셋생명,삼성생명,한화생명,동양생명,삼성화재,현대해상,DB손해보험,한화손해보험,n_life,n_nonlife,n_total
기초잔액_자산,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
기초잔액_부채,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
보험수익,Y,N,Y,Y,Y,Y,Y,Y,3,4,7
신계약인식,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
CSM조정추정변동,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
CSM미조정추정변동,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
위험조정변동,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
경험조정,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
과거서비스변동,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
손실부담계약손실,Y,Y,Y,Y,N,Y,Y,N,4,2,6
발생사고요소조정,Y,Y,N,Y,Y,N,Y,N,3,2,5
발생사고비용,Y,N,Y,Y,Y,Y,Y,Y,3,4,7
수취보험료,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
지급보험금,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
보험취득CF지급,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
보험취득CF상각,Y,N,Y,Y,Y,Y,Y,Y,3,4,7
투자요소,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
금융손익_PL,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
금융손익_OCI,Y,N,N,Y,Y,N,Y,Y,2,3,5
기타증감,Y,N,Y,Y,Y,Y,N,N,3,2,5
